"","Year","Country","NumIncidents","NumFatalities","NumWounded","Region","Religion"
"1",1970,"Argentina",21,5,2,"Latin America","Catholic"
"2",1970,"Australia",1,0,0,"East Asia & Pacific","Christian"
"3",1970,"Belgium",1,0,0,"Europe & Central Asia","Catholic"
"4",1970,"Bolivia",1,0,0,"Latin America","Catholic"
"5",1970,"Brazil",6,2,1,"Latin America","Catholic"
"6",1970,"Canada",2,1,0,"North America","Catholic"
"7",1970,"Colombia",1,0,0,"Latin America","Catholic"
"8",1970,"Dominican Republic",2,1,0,"Latin America","Catholic"
"9",1970,"Egypt",1,0,2,"Middle East & N. Africa","Muslim"
"10",1970,"Ethiopia",3,1,0,"Sub-Saharan Africa","Orthodox"
"11",1970,"Germany",12,0,0,"Europe & Central Asia","Christian"
"12",1970,"Great Britain",2,0,0,"Europe & Central Asia","Christian"
"13",1970,"Greece",3,2,0,"Europe & Central Asia","Orthodox"
"14",1970,"Guatemala",4,2,0,"Latin America","Catholic"
"15",1970,"Iran",5,0,1,"Middle East & N. Africa","Muslim"
"16",1970,"Ireland",1,1,0,"Europe & Central Asia","Catholic"
"17",1970,"Israel",1,1,0,"Middle East & N. Africa","Jewish"
"18",1970,"Italy",3,0,0,"Europe & Central Asia","Catholic"
"19",1970,"Japan",2,0,0,"East Asia & Pacific","None/Other"
"20",1970,"Jordan",9,1,1,"Middle East & N. Africa","Muslim"
"21",1970,"Lebanon",1,0,0,"Middle East & N. Africa","Muslim"
"22",1970,"Mexico",2,0,0,"Latin America","Catholic"
"23",1970,"Netherlands",2,0,0,"Europe & Central Asia","None/Other"
"24",1970,"Nicaragua",1,0,0,"Latin America","Catholic"
"25",1970,"Northern Ireland",10,20,1,"Europe & Central Asia","Catholic"
"26",1970,"Pakistan",1,1,0,"South Asia","Muslim"
"27",1970,"Paraguay",1,1,1,"Latin America","Catholic"
"28",1970,"Philippines",10,41,13,"East Asia & Pacific","Catholic"
"29",1970,"Puerto Rico",18,2,1,"Latin America","Catholic"
"30",1970,"Spain",4,0,0,"Europe & Central Asia","Catholic"
"31",1970,"Switzerland",3,47,0,"Europe & Central Asia","Catholic"
"32",1970,"Turkey",12,0,1,"Middle East & N. Africa","Muslim"
"33",1970,"United States",450,31,159,"North America","Christian"
"34",1970,"Uruguay",33,3,0,"Latin America","Catholic"
"35",1970,"Venezuela",2,0,0,"Latin America","Catholic"
"36",1970,"West Germany (FRG)",20,8,9,"Europe & Central Asia","Christian"
"37",1971,"Argentina",7,5,0,"Latin America","Catholic"
"38",1971,"Australia",1,0,0,"East Asia & Pacific","Christian"
"39",1971,"Bolivia",2,0,0,"Latin America","Catholic"
"40",1971,"Brazil",3,0,0,"Latin America","Catholic"
"41",1971,"Cambodia",2,2,10,"East Asia & Pacific","Buddhist"
"42",1971,"Costa Rica",1,0,0,"Latin America","Catholic"
"43",1971,"Dominican Republic",3,0,0,"Latin America","Catholic"
"44",1971,"Egypt",1,1,0,"Middle East & N. Africa","Muslim"
"45",1971,"Ethiopia",1,0,0,"Sub-Saharan Africa","Orthodox"
"46",1971,"Germany",4,0,0,"Europe & Central Asia","Christian"
"47",1971,"Great Britain",2,0,1,"Europe & Central Asia","Christian"
"48",1971,"Greece",1,0,0,"Europe & Central Asia","Orthodox"
"49",1971,"Guatemala",1,0,0,"Latin America","Catholic"
"50",1971,"Iran",11,4,0,"Middle East & N. Africa","Muslim"
"51",1971,"Ireland",1,1,0,"Europe & Central Asia","Catholic"
"52",1971,"Israel",1,1,11,"Middle East & N. Africa","Jewish"
"53",1971,"Italy",3,0,0,"Europe & Central Asia","Catholic"
"54",1971,"Jordan",5,0,0,"Middle East & N. Africa","Muslim"
"55",1971,"Lebanon",1,0,0,"Middle East & N. Africa","Muslim"
"56",1971,"Netherlands",1,0,0,"Europe & Central Asia","None/Other"
"57",1971,"Northern Ireland",79,110,0,"Europe & Central Asia","Catholic"
"58",1971,"Philippines",4,0,0,"East Asia & Pacific","Catholic"
"59",1971,"Puerto Rico",10,3,0,"Latin America","Catholic"
"60",1971,"Spain",22,0,0,"Europe & Central Asia","Catholic"
"61",1971,"Sweden",2,1,2,"Europe & Central Asia","Christian"
"62",1971,"Switzerland",1,0,3,"Europe & Central Asia","Catholic"
"63",1971,"Taiwan",1,25,0,"East Asia & Pacific","Buddhist"
"64",1971,"Turkey",35,1,0,"Middle East & N. Africa","Muslim"
"65",1971,"United States",237,17,55,"North America","Christian"
"66",1971,"Uruguay",8,1,0,"Latin America","Catholic"
"67",1971,"Venezuela",4,0,0,"Latin America","Catholic"
"68",1971,"West Germany (FRG)",13,0,0,"Europe & Central Asia","Christian"
"69",1971,"Yemen",1,0,0,"Middle East & N. Africa","Muslim"
"70",1971,"Zambia",1,1,0,"Sub-Saharan Africa","Christian"
"71",1972,"Algeria",1,0,0,"Middle East & N. Africa","Muslim"
"72",1972,"Argentina",15,5,0,"Latin America","Catholic"
"73",1972,"Australia",2,1,0,"East Asia & Pacific","Christian"
"74",1972,"Austria",2,4,5,"Europe & Central Asia","Catholic"
"75",1972,"Belgium",1,0,1,"Europe & Central Asia","Catholic"
"76",1972,"Brazil",1,0,1,"Latin America","Catholic"
"77",1972,"Cambodia",1,1,0,"East Asia & Pacific","Buddhist"
"78",1972,"Canada",4,1,7,"North America","Catholic"
"79",1972,"Colombia",2,1,0,"Latin America","Catholic"
"80",1972,"Czech Republic",1,26,0,"Europe & Central Asia","None/Other"
"81",1972,"Egypt",1,0,0,"Middle East & N. Africa","Muslim"
"82",1972,"El Salvador",2,0,0,"Latin America","Catholic"
"83",1972,"France",9,1,0,"Europe & Central Asia","Catholic"
"84",1972,"Great Britain",4,15,20,"Europe & Central Asia","Christian"
"85",1972,"Greece",2,0,0,"Europe & Central Asia","Orthodox"
"86",1972,"India",1,0,0,"South Asia","Hindu"
"87",1972,"Iran",15,1,3,"Middle East & N. Africa","Muslim"
"88",1972,"Ireland",5,6,0,"Europe & Central Asia","Catholic"
"89",1972,"Israel",1,26,72,"Middle East & N. Africa","Jewish"
"90",1972,"Italy",4,1,4,"Europe & Central Asia","Catholic"
"91",1972,"Jordan",3,2,0,"Middle East & N. Africa","Muslim"
"92",1972,"Kuwait",1,0,0,"Middle East & N. Africa","Muslim"
"93",1972,"Lebanon",3,0,0,"Middle East & N. Africa","Muslim"
"94",1972,"Mexico",1,0,0,"Latin America","Catholic"
"95",1972,"Netherlands",1,0,0,"Europe & Central Asia","None/Other"
"96",1972,"Northern Ireland",279,353,17,"Europe & Central Asia","Catholic"
"97",1972,"Panama",1,0,0,"Latin America","Catholic"
"98",1972,"Philippines",7,2,1,"East Asia & Pacific","Catholic"
"99",1972,"Puerto Rico",4,0,0,"Latin America","Catholic"
"100",1972,"South Vietnam",1,81,0,"East Asia & Pacific","None/Other"
"101",1972,"Spain",19,2,3,"Europe & Central Asia","Catholic"
"102",1972,"Sweden",3,0,0,"Europe & Central Asia","Christian"
"103",1972,"Thailand",1,0,0,"East Asia & Pacific","Buddhist"
"104",1972,"Turkey",9,3,5,"Middle East & N. Africa","Muslim"
"105",1972,"United States",60,10,35,"North America","Christian"
"106",1972,"Uruguay",1,0,0,"Latin America","Catholic"
"107",1972,"Venezuela",1,0,0,"Latin America","Catholic"
"108",1972,"West Bank and Gaza Strip",1,1,3,"Middle East & N. Africa","Muslim"
"109",1972,"West Germany (FRG)",24,23,45,"Europe & Central Asia","Christian"
"110",1973,"Afghanistan",1,0,1,"South Asia","Muslim"
"111",1973,"Argentina",60,16,4,"Latin America","Catholic"
"112",1973,"Austria",2,0,0,"Europe & Central Asia","Catholic"
"113",1973,"Belgium",1,0,0,"Europe & Central Asia","Catholic"
"114",1973,"Brazil",2,0,15,"Latin America","Catholic"
"115",1973,"Chile",7,0,0,"Latin America","Catholic"
"116",1973,"Colombia",6,0,0,"Latin America","Catholic"
"117",1973,"Congo (Kinshasa)",1,0,2,"Sub-Saharan Africa","Catholic"
"118",1973,"Cyprus",3,1,1,"Middle East & N. Africa","Orthodox"
"119",1973,"Dominican Republic",3,0,0,"Latin America","Catholic"
"120",1973,"Ecuador",1,0,0,"Latin America","Catholic"
"121",1973,"El Salvador",1,0,0,"Latin America","Catholic"
"122",1973,"Ethiopia",1,0,0,"Sub-Saharan Africa","Orthodox"
"123",1973,"France",14,5,20,"Europe & Central Asia","Catholic"
"124",1973,"Great Britain",14,5,275,"Europe & Central Asia","Christian"
"125",1973,"Greece",11,5,55,"Europe & Central Asia","Orthodox"
"126",1973,"Haiti",1,0,0,"Latin America","Catholic"
