VariableName,Type,Unit,FullDescription,Levels,Sources
Country,"Character, Categorical Variable",NA,Name of country.,each country is one leavel,Gapminder (http://www.gapminder.org/data)
Year,"Numeric, Quantitative Variable",NA,The year of observation.,1970 - 2013,Gapminder (http://www.gapminder.org/data)
LifeExpectancy,"Numeric, Quantitative Variable",years,The average number of years a newborn child would live if current mortality patterns were to stay the same. Observations after 2010 are based on projections by the UN.,"(0, 120)","Gapminder (http://www.gapminder.org/data), file name: ""Life expectancy at birth, with projections"""
GDPPerCapita,"Numeric, Quantitative Variable",PPP$,"Gross Domestic Product per capita by Purchasing Power Parities (in international dollars, fixed 2011 prices). The inflation and differences in the cost of living between countries has been taken into account.","(0, 200000)","Gapminder (http://www.gapminder.org/data), file name: ""Income per person (GDP/capita, PPP$ inflation-adjusted)"""
FemaleUnemploymentRate,"Numeric, Quantitative Variable",%,"Percentage of women, age group above 15, that has been registered as unemployed during the given year.","(0, 100)","Gapminder (http://www.gapminder.org/data), file name: ""Females aged 15+, unemployment rate (%)"""
ElectricityPerCapita,"Numeric, Quantitative Variable",kWh,"The amount of residential electricity consumption per person during the given year, counted in kilowatt-hours (kWh).","(0, 27000)","Gapminder (http://www.gapminder.org/data), file name: ""Electricity use, per person"""
ChildrenPerWoman,"Numeric, Quantitative Variable",people,Total fertility rate. The number of children that would be born to each woman with prevailing age-specific fertility rates.,"(0, 20)","Gapminder (http://www.gapminder.org/data), file name: ""Children per woman (total fertility)"""
ChildMortalityRate,"Numeric, Quantitative Variable",per thousand,"The probability that a child born in a specific year will die before reaching the age of five if subject to current age-specific mortality rates. Expressed as a rate per 1,000 live births.","(0, 500)","Gapminder (http://www.gapminder.org/data), file name: ""Child mortality (0-5 year-olds dying per 1,000 born)"""
PopulationInMillions,"Numeric, Quantitative Variable",millions,Number of people in a country in a year,"(0, 1500)","Gapminder (http://www.gapminder.org/data), file name: ""Population, total"""
LabourRate,"Numeric, Quantitative Variable",%,"For age group above 15, percentage of all labor to total population.","(0, 100)","Gapminder (http://www.gapminder.org/data), file name: ""Aged 15+ labour force participation rate (%)"""
NumCode,"Numeric, Categorical Variable",NA,"ISO 3166-1 three-digit numeric country codes, , which defines codes for the names of countries, dependent territories, and special areas of geographical interest.",each code represents a country,International Organization for Standardization (http://www.iso.org/iso/home.html)
