"","Country","Year","LifeExpectancy","GDPPerCapita","FemaleUnemploymentRate","ElectricityPerCapita","ChildrenPerWoman","ChildMortalityRate","LaborRate","NumCode","PopulationInMillions"
"1","Afghanistan",1970,36.663,1119.906184,NA,NA,7.671,309,NA,4,11.964906
"2","Afghanistan",1971,37.143,1039.780886,NA,NA,7.671,304.1,NA,4,12.273101
"3","Afghanistan",1972,37.614,994.4720758,NA,NA,7.671,299,NA,4,12.593688
"4","Afghanistan",1973,38.075,1079.818009,NA,NA,7.671,294,NA,4,12.915499
"5","Afghanistan",1974,38.529,1109.509798,NA,NA,7.671,288.8,NA,4,13.223928
"6","Afghanistan",1975,38.977,1137.547062,NA,NA,7.671,283.6,NA,4,13.505544
"7","Afghanistan",1976,39.417,1164.089498,NA,NA,7.67,278,NA,4,13.766792
"8","Afghanistan",1977,39.855,1056.469927,NA,NA,7.67,272.7,NA,4,14.003408
"9","Afghanistan",1978,40.298,1111.541965,NA,NA,7.67,267,NA,4,14.179656
"10","Afghanistan",1979,40.756,1087.327241,NA,NA,7.669,260.9,NA,4,14.249493
"11","Afghanistan",1980,41.242,1089.15162,NA,NA,7.669,255,59.40000153,4,14.185729
"12","Afghanistan",1981,NA,1205.305056,NA,NA,7.67,248.7,59.40000153,4,13.984092
"13","Afghanistan",1982,NA,1314.364729,NA,NA,7.671,242.1,59.29999924,4,13.67287
"14","Afghanistan",1983,NA,1361.564785,NA,NA,7.673,235.1,59.29999924,4,13.300056
"15","Afghanistan",1984,NA,1336.619708,NA,NA,7.676,227.5,59.20000076,4,12.931791
"16","Afghanistan",1985,NA,1292.744819,NA,NA,7.679,219.6,59.20000076,4,12.625292
"17","Afghanistan",1986,NA,1385.42645,NA,NA,7.681,211.3,59.09999847,4,12.372113
"18","Afghanistan",1987,NA,1145.54812,NA,NA,7.682,203.3,59.09999847,4,12.183387
"19","Afghanistan",1988,NA,1034.829439,NA,NA,7.682,195,59,4,12.156685
"20","Afghanistan",1989,NA,1009.873573,NA,NA,7.682,186.9,59,4,12.414686
"21","Afghanistan",1990,50.3,953.5146868,NA,NA,7.687,179.1,58.90000153,4,13.032161
"22","Afghanistan",1991,50.2,948.0595413,26.89999962,NA,7.7,171.5,58.79999924,4,14.069854
"23","Afghanistan",1992,50.4,872.659964,26.60000038,NA,7.725,164.6,58.70000076,4,15.472076
"24","Afghanistan",1993,50.5,751.0515319,26.5,NA,7.758,158.4,58.70000076,4,17.053213
"25","Afghanistan",1994,50.1,672.5617679,26.20000076,NA,7.796,153.3,58.59999847,4,18.553819
"26","Afghanistan",1995,50.4,808.8680781,26.10000038,NA,7.832,149.1,58.5,4,19.78988
"27","Afghanistan",1996,50.6,830.4196796,25.89999962,NA,7.859,145.7,58.5,4,20.684982
"28","Afghanistan",1997,50.7,853.8450877,25.89999962,NA,7.869,143,58.40000153,4,21.29935
"29","Afghanistan",1998,50,877.9757655,25.79999924,NA,7.854,140.6,58.40000153,4,21.752257
"30","Afghanistan",1999,50.8,901.7501247,25.70000076,NA,7.809,138.2,58.40000153,4,22.227543
"31","Afghanistan",2000,51,892.2387735,25.79999924,NA,7.733,135.6,58.5,4,22.856302
"32","Afghanistan",2001,51.1,799.6817856,26.10000038,NA,7.623,132.7,58.5,4,23.677385
"33","Afghanistan",2002,51.6,976.6691586,26.20000076,NA,7.484,129.4,58.59999847,4,24.639841
"34","Afghanistan",2003,52.1,1055.14511,25.10000038,NA,7.321,125.9,58.79999924,4,25.678639
"35","Afghanistan",2004,52.5,1081.472262,26.29999924,NA,7.136,122.4,58.90000153,4,26.693486
"36","Afghanistan",2005,52.9,1174.582145,24.79999924,NA,6.93,119,59,4,27.614718
"37","Afghanistan",2006,53.2,1193.282161,26.20000076,NA,6.702,115.8,59.20000076,4,28.420974
"38","Afghanistan",2007,53.6,1321.945588,25.60000038,NA,6.456,112.9,59.59999847,4,29.145841
"39","Afghanistan",2008,54,1323.495832,NA,NA,6.196,110.2,NA,4,29.839994
"40","Afghanistan",2009,54.5,1552.033398,NA,NA,5.928,107.7,NA,4,30.577756
"41","Afghanistan",2010,54.8,1632.338112,NA,NA,5.659,105.2,NA,4,31.411743
"42","Afghanistan",2011,55.2,1695.153436,NA,NA,5.395,102.6,NA,4,32.35826
"43","Afghanistan",2012,55.5,1885.356711,NA,NA,5.141,100,NA,4,33.397058
"44","Afghanistan",2013,56.2,1906.651322,NA,NA,4.9,97.3,NA,4,34.499915
"45","Albania",1970,66.948,4388.74856,NA,NA,5.05,NA,NA,8,2.135599
